Date,Title,Impressions,Reached,Views,Watched,Reaction,Comment,Repost,Transcript,Post
2/11,Chat GPT Operator,"1,258,064","712,542","100,206",220h 14m,203,10,8,"I've been using Operator for more than a week and I'm convinced it's going to change how you think about getting stuff done. We spend most of our time focused on the mechanics of a task. So if you want to book a flight, you do some research, look through a few pages and log into one or more websites.

Now, before you know it, you've filled out dozens of text fields, and logged into several accounts. But what you really wanted to accomplish was to book a flight. Operator lets ChatGPT take care of the mechanics of a task and gives the AI the power to fill out forms, and even do the research for you.

After using it for a week, I can tell you I'm ready to give up filling out forms, creating spreadsheets, and even doing research. It lets me focus on what I want to do, not how I need to do it. And that's the true beauty of what OpenAI has done.","Turns out Operator and other AI tools that handle tasks for you will change how you think about work. So far, most of our work focuses on the mechanics of how a task is accomplished...not in accomplishing the purpose of the task.

When we got access to search engines, we no longer needed the phone book. Operator will replace search engines because most of us don't care about the dozens of clicks, input fields and buttons it takes to accomplish our goals. We just want to book a flight, get an answer to a question our business or find out what the best way to do something is. We don't actually care about the spreadsheet, the document or the forms we have to fill out to get there.

Once you use Operator, you stop thinking about the process and start thinking more about your goals. The tools will already have some approved access to your data and be logged into the sites you need to get work done.

If you want to learn more, check out my latest course. I spent the $200/month so you don't have to and can get a taste of what the very near future is like: https://lnkd.in/e28YVH5s"
2/14,Is Anyone Actually Using AI,"14,318","9,369","3,032",12h 56m 3s,110,15,5,"Everybody talks a big game on AI, but is anyone really using it? And how are they using it? 

Well, Anthropic analyzed over 4 million conversations, mapping them to tasks and occupations from a US labor database. And here's what they found 

aI usage is concentrated in two places, software development and writing related tasks.

That accounts for nearly half of all actual usage of their platform. 

Employees with mid to high level wages use these platforms a lot more, so that may have something to do with these tools being available at different cost levels. 

Are we getting replaced by AIs? Well, so far the data shows that people are using AI to augment or enhance their ability to do work, and not so much on replacing the work that they do.

So maybe for the time being, we're safe. Check out the post for a link to the paper or some of our courses on Anthropic","Ever wonder how people are really using AI? Well, the economic research from Anthropic details exactly how people are using artificial intelligence by analyzing four million conversations and mapping them to US Employment data.

Data: https://lnkd.in/eqXyCa2a
My courses: https://go.raybo.org/learn"
2/18,OpenAI Should be Worried,"1,097,331","547,992","129,209",421h 53m,411,15,15,"Elon Musk just dropped version 3 of Grok and open ads should be worried, but not for the reason you think. The new version of Grok is rated by LM Arena as one of the best models. But that's not as important as you think. as the announcement for Grok 3 went out, Sam Altman had already announced the next generation of GPT 4. 5 and talked about what's coming in version 5. the impressive thing is how fast Grok has caught up to not just what OpenAI has done, but what other companies like DeepSeek were able to do with things like test time compute, And reasoning. The model is at least equivalent to what others have done.

And this is due to Elon's almost infinite pockets. Building the largest cluster of the best GPUs in the world. The reason OpenAI is probably worried is that they're getting attacked from all sides. Google is trying to crush them in terms of price per compute. Anthropic is still the most beloved tool for programmers. And now that Grok has caught up in terms of model quality, they're going to compete with OpenAI everywhere.

Check out the post for more links and where you can find more training on artificial intelligence topics.","The AI Model Wars are over...and not just because Grok 3 is a better model than others. It's probably not what you think.

I'm sure by the end of the week or next, we'll have a new leader. Grok, however, proves that anyone can catch up to what OpenAI has done.

They can no longer count on always having the best models. Although they announced updates to ChatGPT 4.5 and what's coming with Chat GPT 5, it doesn't matter. With enough will, compute or different training techniques anyone can catch up.

Google is trying to crush them on pricing, Deepseek proves a scrappy open source model can compete and Grok 3 just completed a 'hold my beer' moment. 

Thankfully, so far, ChatGPT might have some tool advantages and with partnerships equally powerful compute, but they better watch out. The model wars are over...the AI Product wars have just begun.

Try Grok 3: https://grok.com/
LM Arena Top Rating: https://lnkd.in/euYSPTu8
Watch the launch: https://x.com/xAI
My AI courses: https://go.raybo.org/learn"
2/24,The Age of AI is Over,"1,723,596","1,004,904","187,043",632h 22m,1294,80,27,"Forget the age of AI, welcome to the age of vibe coding. This is what people are calling an approach where developers do zero coding , but simply tell the AI what to do with tools like Cursor, Repl. it, and Bolt. It's rapidly becoming a way to create viable products. And if you don't believe me, the term was coined by no other than Andrej Karapathy, founding member of OpenAI and ex-director of AI at Tesla.

check out. This flight simulator built with AI vibe coding. I used to teach game development in college and built lots of interactive projects This stuff is not easy for even a human to do. The tools are able to handle concepts like collision detection, scoring, levels, and heck, they're even throwing in 3D for good measure.

We live in a different world.

Don't forget to follow me for more AI coding, courses and check out the links in the notes for where you can play some of these games.","Welcome to the Age of Vibe Coding.

This is what people are calling an approach where developers do zero coding, but simply chat with AI tools to build games and other projects.

Lately, we've been focused on AI assisted coding, but people are already looking beyond that and to a world where Vibe Coding is viable.

I've been experiencing this as I work on a course on Cursor and the weird thing is that...it feels natural. I sort of felt guilty about it until I saw the post from Andrej and the flight simulator game.

Companies like X and others are even looking at ways to create AI Game studios. The landscape of game development is about to change.

We live in a different world.

Andrej Karpathy's Post: https://lnkd.in/ewhNAvnr
AI Courses: https://go.raybo.org/learn
Flight Simulator: https://fly.pieter.com/
Space Game: https://lnkd.in/ezw62R66
Pac Man: https://lnkd.in/efE9pUMm"
3/4,Chat GPT 4.5 is good at One Thing,"383,651","218,526","47,499",170h 58m,294,3,7,"GPT-4 0.5 is better than other models at one thing. And that's persuasion. 

To prove this, OpenAI asked 4.5 to pretend to be a con artist, while another model was giving a virtual $100, 

4.5 was extremely good at convincing the mark into giving it money. 

It was also asked to convince another model to say a specific code word and it outperformed every other model or technique with a 72% win rate.

If you think about it, most of the tasks that we do are designed to persuade others.  

That's often what we're trying to do when we prepare emails, spreadsheets, and presentations. 

I would use this model with search and deep research when I'm trying to convince, analyze, or for better insights, 

stay away from 4.5 on development tasks or tasks that require a high degree of reasoning. 

Don't forget to follow me for insights and check out the links in the post if you want to improve your AI skills.","Everyone is missing the most powerful feature in GPT 4.5. This is the most expensive model in the history of OpenAI and it excelled in some really important categories.

First, it's really good at persuasion and if you think about it, a lot of the work you're doing has to be persuasive. When you're writing an email, doing some research or even creating a spreadsheet, you're often trying to prove a point.

4.5 was designed and tested to excel at these two tasks and when you're using it, you notice that the model is much better at writing, it hallucinates less and does a better job at research.

It's not so good at programming tasks or anything that requires deep research.

ChatGPT 4.5 Release: https://lnkd.in/e44xbRMR
ChatGPT 4.5 System Card: https://lnkd.in/eJtaTuWv
The latest AI trends/courses: https://go.raybo.org/learn
Follow me: https://lnkd.in/ewi3GP6"
3/6,Don't learn to code,"135,478","83,403","15,069",62h 52m 50s,169,6,4,"Developers are at a crossroad 

and that's because a whole lot of people are about to join their ranks. 

You see, every time we make something easier, we get more of it. 

The printing press made it easier to publish books. Social media exploded personal branding and the gig economy dramatically increased delivery and transportation 

always more, not less.

And today, tools like Cursor, Bolt, and Spark are making app development as easy as prompting. 

Recently, I built a to-do app, but instead of hours of typing, installing, and styling, it took me minutes and a handful of prompts. 

Now, that doesn't mean that professional developers are going to be out of a job anytime soon. 

According to GitHub's 2024 developer Report, AI Projects experienced a 98% year over year increase. You need more, not less people that can build professional AI services. When humanity got power tools, it didn't make us all professional furniture makers. It just made it easier to start building. 

Follow me for more insights on Ai. Plus, check the links in the post to find out how you can build an app using Cursor with just a few prompts.","Every time technology makes something easier, we get more of it not less.

Stats show that the world going to need more developers not less and that's because tools like Cursor, Bolt and Spark are making development easier.

My Cursor Course: https://lnkd.in/eHm7ymbE
All my AI Courses: https://lnkd.in/eS5E6QRP
Cursor: https://www.cursor.com/
Bolt: https://bolt.new/
Spark: https://lnkd.in/eWPzf9T8"
3/7,The Last Tutorial,"2,770,996","1,573,244","193,230",439h 32m,488,22,11,"This is an ancient input device  I used to use to program my computer and prompt AIs,  But today, my voice and a few apps is all I need.  You probably know that you can have a natural conversation with the Chat GPT app, but while talking, you can turn on the camera and ask it about anything in the real world.

Tell me how to change the SD card on the GoPro. to change the SD card, open the battery door on the side. You'll see the SD card slot next to the battery. Then you can remove it and insert a new one. Make sure it clicks into place.

 but that's not all on a desktop. You can ask AI Studio to take a peek at your screen and help you with any app running on your machine. 

  Help me write this formula for calculating how many days since this bank closed. you can use the function days. so The correct formula should be equals days. Today, F two. The today function requires parentheses,   For right now, there's only a couple of devices and apps that can support this,  but the days of the online tutorial are about the end.  follow me for more insights on AI.  Plus check the links on the post to find out how you can do this with AI Studio and the Chat GBT app. ","I'm not sure how I feel about this, but this might be the last tutorial you'll ever need.

You see, apps like ChatGPT now have the ability to answer questions about the real world. I tried this on a lot of different things, when I was changing my car battery, asking questions about my solar powered van system and on random things around my office. In reality it does a decent job right now...not perfect, but it is helpful in a lot of ways. Over time, I think we'll just turn this on when we have questions in the same way we ask AIs for help when we want to know a fact, translate or settle a dispute.

The AI Studio app is another beast altogether. The app lets you turn on either the camera from your computer or look at any screen or app, just like what happens when you screen share into a meeting. Once you do, you can ask it to help you with a game you're playing, a video you're editing or a spreadsheet you need help with.

The tools can't yet do the work for you, but that's just a matter of time. And then, I don't think you'll be looking for tutorials on how to do specific things, you'll just ask the computer for help. Again, at this time, it's not perfect, but it's magical when you realize the computer can follow along with what you're doing. 

Sometimes it's much easier to explain something without having to say it or prompt it, but just let the computer look at what you're doing. It can see what you're typing or the context of something like the entire code you're looking at. Once it gets plugged into an app like Visual Studio Code, it would even understand your entire codebase or potentially all of the tabs in your spreadsheet.

For right now, only the ChatGPT mobile app offers this feature. With the Desktop app, you can ask it to take a screenshot of any app or window, but it's static. I can imagine this feature burns tokens like a million suns, so the only reason we probably don't have it yet is because no one wants to pay for the compute time. Once that changes, this will change the world.

At any rate, how you learn is about to change. Don't worry, I think people like me, who've been making a decent living teaching you things will still adjust by showing things you need to know about...just like this...or so I hope.

Useful Links
Chat GPT App download: https://lnkd.in/eJr-_tfw
Google's AI Studio: https://lnkd.in/eJYSAawi"
3/19,You should already have these AI Skills,"223,532","129,558","18,095",44h 0m 39s,128,18,8,"Here are five skills and tools you should already be using 

to stay relevant in the age of ai.  

Number one, use Deep Research tools to find papers and quotes and reinforce points in presentations and reports. 

Number two, use Google Gemini to ask questions about YouTube videos, like when you want to know when in a video, somebody said something. Plus it can read the text in videos, so you can ask what somebody typed, but maybe didn't say. 

Number three, stop writing without Canvas You can do spot AI prompts on individual sentences, and it has a ton of tools that can help you improve your writing.

Number four, leverage existing tools inside office apps. I love to use them for help writing formulas and spreadsheets, or summarize content in pages for presentations. 

Number five, use artifacts or playgrounds to create dashboards, extract data from PDFs and build tools that you can share with others.

me know if you want me to make videos about any of these in the comments and check out the links to tools. Plus, follow me for more tips on how to level up your AI skills.","If you are not using AI for these five things, you're falling behind. Tell me in the comments if you learned something new.

1. Use Deep Research to find papers and quotes to reinforce points in your videos and presentations.
Quite possibly the most useful feature in AI has been Deep Research. It's so awesome that all major AI platforms started to copy it. It was first developed by Google and tells the AI to scour through the internet or search scientific papers and return a report. I use this whenever I'm doing a video and I need some data to reinforce a point. The days of searching through countless google search returns is over.

2. Search for or through YouTube videos
Sometimes, I want to find a clip or a quote that someone said in a video. Gemini is the only tool that gives you access to all of youtube automatically and it can find the timecode where someone said something. The great thing is that it can find things in videos that someone typed in like code commands or know where in a hike someone found something interesting...even if they don't mention it in the audio.

3. You'll should never write again without Canvas
This feature was just added to Gemini, but was birthed in ChatGPT. The ability to do spot AI modifications, get suggestions to improve your writing, change the reading level or the overall length of your content means I never write scripts without Canvas mode.

4. Look for AI inside existing Office Tools
I use this all the time to summarize a presentation and build a ""what we'll cover"" page, plus I don't write formulas anymore, but ask the AI to build them for me. If you saw my other video on AI studio you know it can already watch you use an app and help you with voice commands. Welcome to the future, sorry you've been missing out.

5. AI Built Dashboards are cake
Tools like Anthropic's Artifacts and ChatGPT are capable coders that can build dashboards and other tools for you. I gave it a list of analytics from my videos in a CSV file and used the prompt ""Can you create a dashboard to analyze this data and make sure I can add to it in the future"" and it built a fantastic dashboard with dynamic tables and a form I can use to add new features. Check out the link below if you want to take a peek and copy it for your own use.

Let me know if you want a longer demo of some of these...When it's as easy as typing in a prompt like the one above, it's more of a demo where the AI does most of the work.

Don't give up on AI, embrace it to win the future.

Useful Links
My AI Courses: https://go.raybo.org/learn
Follow me on LinkedIn: https://lnkd.in/e52Vcduz
Gemini read text in video: https://lnkd.in/eDGaxyA9
Video Analytics Dashboard: https://lnkd.in/eXikKv2m
The Last tutorial you'll ever need: https://lnkd.in/eRBpkM4Y
(mentioned above)"
3/21,Is Claude Search Any Good?,"349,119","190,520","31,329",69h 14m 19s,81,8,0,"Claude just added web search to their platform. 

But is it any good? Now, if you go to Claude today, you might notice a small popup that invites you to enable this feature, 

but if you don't get that, you can also go to your settings and toggle the feature manually. 

However, this feature is only available to paid 

Claude members today,

but they do plan to bring it to free Claude users.

Now, Claude will activate search when it things your prompt needs it, 

unlike other platforms that give you a button to turn the feature on. 

It's even making me verify that I really want to search. But then it starts looking through sites. Before answering your prompt, 

you'll get an answer with sources embedded into the results.

Roll over the references or click on them to go there. 

In a way, it's like a mini deep research with a bit of thinking at the top, 

I'm super glad Claude added this feature,   but to me, Gemini search and deep  research 

are still the best versions of this.

Don't forget to follow me for more AI. content and let me know what you think in the comments.
","Is Claude's New Search Feature Any Good?

Claude has introduced a web search feature for paid members, with plans to expand to free users soon. It's designed to provide a simple search/research experience with embedded sources. 

Here's the details

1. Available for paid members only, but will expand it to others in the future. 
2. There's no way to toggle the feature on, unlike in other platforms. 
3. Activates automatically when a search is deemed necessary. 
4. Uses reasoning, then provides answers with embedded sources
5. Like a mini-deep research experience. 
6. Gemini search and deep research features. 

Are you using search? Deep Research? Which one is your favorite?"
3/24,AI Will Replace you if you ignore this,"600,328","329,102","51,859",121h 33m,134,6,8,"The truth is AI won't destroy careers, but you know what will? standing still 

I've switched careers in most industries, disrupted by tech

newspapers, radio, tv, and the internet

In the past, traditional media gave only a few people a voice

but today anyone with a phone can be a creator, educator or entrepreneur? 

Substack, Spotify and TikTok turned many with traditional media experience into successful creators

The people landing those jobs, they didn't wait. They learned to work with what they had before technology worked without them

That's what I did when I switched from being a graphic designer to a web designer a developer and finally an AI educator

So for example, if you are an admin, try automation tools like Operator or Zapier

If you're a writer, make sure you know how to use deep Search, Tasks and Canvas

The people who thrive, they don't wait. They start early, and that time is right now

 follow me for more breakdowns on how to stay one step ahead and check the notes for some additional courses and resources","Will AI replace your job? The truth is that it's not up to AI.

Every major tech shift has replaced someone and AI is no different, but thankfully, we've seen shifts many time before and some people adapt and thrive in new fields.

I'm a good example, I've worked for just about every field that's supposed to be dead. My B.A. is in journalism and I worked as a designer for print, then a newspaper for five years, two inside a newsroom. Thinking I'd try some other media 'in the tech bubble' I moved on to Radio and Television.

None of those industries died...was there displacement...sure. They were all changed and the truth is, people in newer media almost always come from old media.

The internet changed journalism and it exploded the opportunities for those who leveraged what they already had.

The biggest podcasters often come from other fields, and they learned to move with, not against the changes. That is exactly what's happening again with AI.

You don’t have to start from scratch. When the internet was new, it was easy for me to leverage a good design portfolio into a career that no one had 5 years of experience with.

Web development was a lot easier to learn for someone with some web design experience. If I had to learn to be a developer today, there would just be much more to learn.

People landing AI jobs aren’t necessarily hugely proficient, they're just adapting early.

- If you’re in admin → learn automation.
- If you’re a writer → start prompting, editing, and synthesizing.
- If you’re a dev → stop resisting tools like Cursor or Copilot—they’re force multipliers.

AI doesn’t destroy careers. Standing still does.

Useful links:
My AI Courses: https://go.raybo.org/learn
AI Skills You Should Already Have:
https://lnkd.in/ekb8A687
The Last Tutorial You'll Ever Need: https://lnkd.in/eycURe-s"
